  391,20180101,   49
  391,20180102,   44
  391,20180103,   60
  391,20180104,   63
  391,20180105,   47
  391,20180106,   17
  391,20180107,   14
  391,20180108,   15
  391,20180109,   15
  391,20180110,   61
  391,20180111,   23
  391,20180112,   25
  391,20180113,   38
  391,20180114,   16
  391,20180115,   10
  391,20180116,   23
  391,20180117,   16
  391,20180118,   11
  391,20180119,   10
  391,20180120,    5
  391,20180121,   -1
  391,20180122,   20
  391,20180123,   64
  391,20180124,   82
  391,20180125,   56
  391,20180126,   29
  391,20180127,   35
  391,20180128,   53
  391,20180129,   37
  391,20180130,   11
  391,20180131,   23
  391,20180201,   12
  391,20180202,   23
  391,20180203,    7
  391,20180204,   -6
  391,20180205,  -26
  391,20180206,  -35
  391,20180207,  -72
  391,20180208,  -85
  391,20180209,  -29
  391,20180210,    7
  391,20180211,    9
  391,20180212,   -6
  391,20180213,  -14
  391,20180214,  -14
  391,20180215,   -3
  391,20180216,  -28
  391,20180217,  -42
  391,20180218,  -39
  391,20180219,  -26
  391,20180220,  -42
  391,20180221,  -32
  391,20180222,  -27
  391,20180223,  -33
  391,20180224,  -42
  391,20180225,  -48
  391,20180226,  -56
  391,20180227,  -92
  391,20180228,  -77
  391,20180301,  -74
  391,20180302,  -70
  391,20180303,  -37
  391,20180304,    9
  391,20180305,   29
  391,20180306,   -7
  391,20180307,  -16
  391,20180308,   15
  391,20180309,   15
  391,20180310,   73
  391,20180311,   67
  391,20180312,   63
  391,20180313,   45
  391,20180314,   24
  391,20180315,   41
  391,20180316,    1
  391,20180317,  -28
  391,20180318,  -27
  391,20180319,  -39
  391,20180320,  -50
  391,20180321,  -51
  391,20180322,   30
  391,20180323,   48
  391,20180324,    6
  391,20180325,  -22
  391,20180326,   -1
  391,20180327,  -14
  391,20180328,   34
  391,20180329,   36
  391,20180330,   48
  391,20180331,   17
  391,20180401,   11
  391,20180402,    1
  391,20180403,   91
  391,20180404,   71
  391,20180405,   -2
  391,20180406,    2
  391,20180407,   94
  391,20180408,   80
  391,20180409,   90
  391,20180410,  100
  391,20180411,   63
  391,20180412,   83
  391,20180413,   52
  391,20180414,   86
  391,20180415,  109
  391,20180416,   60
  391,20180417,   44
  391,20180418,   67
  391,20180419,   86
  391,20180420,  113
  391,20180421,   91
  391,20180422,  120
  391,20180423,   95
